order_item_id,order_id,product_id,quantity,unit_price
1,1,28,2,432.85
2,1,32,3,365.63
3,2,19,3,450.0
4,2,36,5,333.38
5,2,9,5,62.14
6,3,22,1,488.22
7,3,3,1,312.47
8,3,41,4,109.04
9,3,2,1,464.86
10,4,29,4,341.36
11,4,1,4,200.91
12,5,45,2,410.12
13,5,42,3,235.17
14,6,18,1,217.74
15,6,42,3,235.17
16,7,6,3,146.07
17,7,43,2,397.9
18,7,4,4,271.13
19,8,47,2,126.2
20,8,28,1,432.85
21,8,46,1,404.25
22,9,14,4,386.7
23,10,9,5,62.14
24,11,34,4,26.97
25,11,1,1,200.91
26,12,8,4,466.22
27,12,45,2,410.12
28,12,31,1,23.94
29,13,25,1,430.0
30,13,47,1,126.2
31,14,21,3,487.05
32,15,9,4,62.14
33,15,50,2,446.87
34,15,42,2,235.17
35,16,34,5,26.97
36,17,40,2,206.01
37,18,23,2,93.78
38,18,41,2,109.04
39,18,27,5,331.72
40,18,44,4,260.15
41,19,6,1,146.07
42,19,9,1,62.14
43,20,47,4,126.2
44,20,23,4,93.78
45,20,21,2,487.05
46,20,16,3,60.38
47,20,42,1,235.17
48,21,36,5,333.38
49,21,39,5,340.27
50,22,50,1,446.87
51,22,43,3,397.9
52,22,14,5,386.7
53,23,33,2,195.67
54,23,48,4,230.43
55,23,19,1,450.0
56,23,16,4,60.38
57,23,25,1,430.0
58,24,32,5,365.63
59,24,5,5,466.96
60,25,24,3,137.07
61,26,25,5,430.0
62,26,27,3,331.72
63,27,44,2,260.15
64,27,49,4,249.72
65,27,50,1,446.87
66,27,2,5,464.86
67,27,5,1,466.96
68,28,14,1,386.7
69,28,4,4,271.13
70,28,33,3,195.67
71,29,50,4,446.87
72,29,28,4,432.85
73,29,6,5,146.07
74,29,35,5,185.29
75,29,10,3,139.81
76,30,20,1,342.62
77,31,14,2,386.7
78,31,35,3,185.29
79,31,26,5,178.08
80,31,41,1,109.04
81,31,20,4,342.62
82,32,4,2,271.13
83,32,6,4,146.07
84,33,30,5,62.09
85,34,4,3,271.13
86,34,43,2,397.9
87,34,8,1,466.22
88,34,46,2,404.25
89,34,45,1,410.12
90,35,32,3,365.63
91,35,34,5,26.97
92,36,11,3,105.78
93,36,9,3,62.14
94,36,47,1,126.2
95,37,22,4,488.22
96,38,34,1,26.97
97,38,17,5,418.12
98,38,41,1,109.04
99,39,30,5,62.09
100,39,24,1,137.07
101,39,32,5,365.63
102,39,11,3,105.78
103,40,17,1,418.12
104,40,37,1,335.11
105,41,48,5,230.43
106,41,1,1,200.91
107,42,16,1,60.38
108,43,24,4,137.07
109,43,10,2,139.81
110,43,3,5,312.47
111,43,46,4,404.25
112,44,21,2,487.05
113,44,27,3,331.72
114,45,5,5,466.96
115,45,24,1,137.07
116,45,33,1,195.67
117,46,15,5,278.08
118,46,3,4,312.47
119,47,30,3,62.09
120,48,21,1,487.05
121,48,36,4,333.38
122,48,1,3,200.91
123,49,19,5,450.0
124,49,20,5,342.62
125,50,30,3,62.09
126,50,38,4,279.43
127,51,47,5,126.2
128,51,49,2,249.72
129,52,1,4,200.91
130,52,2,2,464.86
131,53,23,1,93.78
132,53,22,1,488.22
133,53,49,4,249.72
134,53,48,3,230.43
135,53,7,2,307.78
136,54,16,4,60.38
137,54,32,1,365.63
138,54,10,3,139.81
139,54,6,1,146.07
140,54,15,5,278.08
141,55,45,3,410.12
142,55,30,1,62.09
143,55,38,1,279.43
144,55,33,2,195.67
145,56,5,5,466.96
146,56,37,1,335.11
147,56,28,2,432.85
148,56,16,3,60.38
149,57,21,4,487.05
150,57,45,3,410.12
151,57,21,4,487.05
152,58,15,1,278.08
153,58,13,2,415.53
154,58,50,5,446.87
155,59,10,1,139.81
156,60,29,4,341.36
157,60,21,4,487.05
158,61,35,3,185.29
159,62,29,3,341.36
160,62,30,3,62.09
161,63,6,2,146.07
162,64,46,5,404.25
163,64,3,2,312.47
164,64,21,2,487.05
165,65,46,2,404.25
166,66,26,5,178.08
167,66,4,3,271.13
168,66,17,2,418.12
169,67,26,4,178.08
170,68,48,5,230.43
171,68,16,1,60.38
172,68,30,1,62.09
173,68,9,1,62.14
174,68,1,1,200.91
175,69,9,2,62.14
176,69,26,3,178.08
177,70,38,5,279.43
178,71,5,1,466.96
179,71,5,2,466.96
180,71,42,4,235.17
181,72,6,3,146.07
182,72,8,1,466.22
183,73,4,2,271.13
184,73,37,4,335.11
185,73,47,4,126.2
186,73,32,1,365.63
187,74,44,4,260.15
188,74,12,3,129.31
189,74,14,2,386.7
190,74,18,3,217.74
191,75,10,1,139.81
192,75,40,5,206.01
193,75,40,2,206.01
194,75,42,3,235.17
195,76,27,5,331.72
196,76,31,1,23.94
197,76,6,3,146.07
198,76,25,2,430.0
199,77,13,5,415.53
200,77,16,5,60.38
201,77,2,4,464.86
202,77,46,3,404.25
203,78,35,4,185.29
204,78,23,5,93.78
205,78,33,3,195.67
206,78,25,3,430.0
207,79,2,3,464.86
208,79,39,2,340.27
209,80,50,3,446.87
210,81,31,5,23.94
211,82,50,5,446.87
212,82,15,2,278.08
213,82,7,2,307.78
214,83,18,5,217.74
215,83,48,1,230.43
216,84,37,4,335.11
217,84,23,2,93.78
218,85,16,5,60.38
219,85,21,3,487.05
220,86,2,3,464.86
221,86,37,5,335.11
222,86,10,5,139.81
223,86,13,4,415.53
224,86,35,3,185.29
225,87,32,1,365.63
226,87,6,1,146.07
227,88,39,2,340.27
228,88,2,5,464.86
229,89,1,3,200.91
230,89,40,2,206.01
231,89,9,3,62.14
232,89,46,2,404.25
233,90,4,1,271.13
234,90,10,5,139.81
235,90,46,2,404.25
236,91,34,3,26.97
237,92,24,4,137.07
238,93,7,3,307.78
239,93,20,3,342.62
240,93,9,2,62.14
241,93,47,4,126.2
242,93,41,4,109.04
243,94,12,5,129.31
244,94,45,5,410.12
245,94,23,2,93.78
246,95,12,4,129.31
247,95,20,3,342.62
248,95,9,2,62.14
249,95,47,1,126.2
250,95,45,5,410.12
251,96,50,5,446.87
252,96,3,2,312.47
253,96,39,3,340.27
254,96,40,2,206.01
255,97,7,4,307.78
256,97,10,3,139.81
257,97,48,1,230.43
258,97,16,3,60.38
259,97,21,2,487.05
260,98,46,3,404.25
261,99,1,3,200.91
262,99,14,2,386.7
263,99,45,1,410.12
264,99,23,3,93.78
265,100,47,1,126.2
266,101,25,4,430.0
267,102,11,4,105.78
268,102,32,4,365.63
269,102,23,5,93.78
270,102,25,1,430.0
271,103,37,2,335.11
272,103,11,4,105.78
273,103,5,1,466.96
274,103,19,1,450.0
275,104,17,1,418.12
276,104,5,3,466.96
277,104,11,4,105.78
278,105,47,1,126.2
279,105,36,1,333.38
280,106,39,5,340.27
281,106,31,1,23.94
282,106,28,2,432.85
283,107,28,2,432.85
284,107,4,1,271.13
285,107,22,2,488.22
286,107,13,4,415.53
287,107,45,5,410.12
288,108,17,3,418.12
289,108,20,2,342.62
290,108,7,1,307.78
291,108,26,5,178.08
292,108,36,4,333.38
293,109,4,3,271.13
294,109,1,4,200.91
295,110,19,5,450.0
296,111,13,1,415.53
297,111,2,2,464.86
298,111,11,3,105.78
299,111,6,4,146.07
300,112,20,4,342.62
301,113,32,3,365.63
302,113,6,5,146.07
303,113,25,2,430.0
304,113,24,4,137.07
305,114,12,4,129.31
306,114,3,3,312.47
307,114,29,4,341.36
308,115,15,3,278.08
309,115,37,1,335.11
310,115,10,1,139.81
311,116,43,3,397.9
312,117,27,5,331.72
313,117,15,5,278.08
314,117,4,4,271.13
315,117,34,4,26.97
316,117,35,4,185.29
317,118,16,4,60.38
318,118,20,1,342.62
319,118,26,1,178.08
320,118,33,5,195.67
321,118,34,5,26.97
322,119,10,1,139.81
323,119,49,4,249.72
324,119,12,2,129.31
325,119,14,2,386.7
326,119,9,1,62.14
327,120,6,4,146.07
328,120,13,2,415.53
329,120,39,3,340.27
330,120,21,1,487.05
331,121,25,5,430.0
332,122,36,3,333.38
333,122,18,5,217.74
334,122,30,1,62.09
335,122,45,5,410.12
336,123,34,4,26.97
337,123,8,4,466.22
338,123,10,2,139.81
339,123,37,5,335.11
340,123,38,1,279.43
341,124,37,1,335.11
342,125,35,3,185.29
343,125,27,3,331.72
344,125,25,4,430.0
345,126,39,4,340.27
346,126,3,2,312.47
347,126,18,4,217.74
348,126,10,5,139.81
349,126,39,4,340.27
350,127,26,3,178.08
351,128,4,4,271.13
352,128,18,3,217.74
353,129,22,3,488.22
354,130,18,4,217.74
355,130,45,1,410.12
356,130,15,2,278.08
357,131,48,4,230.43
358,131,50,3,446.87
359,131,18,4,217.74
360,132,42,1,235.17
361,132,13,4,415.53
362,132,14,4,386.7
363,132,48,4,230.43
364,132,49,5,249.72
365,133,4,5,271.13
366,133,11,1,105.78
367,133,20,5,342.62
368,134,9,5,62.14
369,134,37,1,335.11
370,134,12,2,129.31
371,134,13,1,415.53
372,135,3,4,312.47
373,135,4,3,271.13
374,136,18,3,217.74
375,136,30,5,62.09
376,137,41,1,109.04
377,137,44,1,260.15
378,137,16,3,60.38
379,137,32,5,365.63
380,138,12,4,129.31
381,138,38,5,279.43
382,138,23,3,93.78
383,138,11,3,105.78
384,139,19,1,450.0
385,140,4,2,271.13
386,140,37,2,335.11
387,140,15,2,278.08
388,140,44,2,260.15
389,141,42,4,235.17
390,141,33,1,195.67
391,141,50,1,446.87
392,142,9,2,62.14
393,142,39,1,340.27
394,142,15,3,278.08
395,142,39,3,340.27
396,143,28,4,432.85
397,143,23,4,93.78
398,143,17,2,418.12
399,144,20,5,342.62
400,144,40,4,206.01
401,144,38,1,279.43
402,144,1,5,200.91
403,145,36,5,333.38
404,145,39,3,340.27
405,145,20,1,342.62
406,146,5,3,466.96
407,146,18,3,217.74
408,146,18,3,217.74
409,146,42,3,235.17
410,147,10,5,139.81
411,147,49,2,249.72
412,148,39,4,340.27
413,149,44,2,260.15
414,149,47,1,126.2
415,149,42,4,235.17
416,150,17,4,418.12
417,150,26,4,178.08
418,150,48,1,230.43
419,151,46,5,404.25
420,151,13,3,415.53
421,151,47,2,126.2
422,151,44,5,260.15
423,151,41,4,109.04
424,152,33,3,195.67
425,152,11,5,105.78
426,152,12,3,129.31
427,153,31,2,23.94
428,154,47,5,126.2
429,154,49,2,249.72
430,154,44,3,260.15
431,155,15,3,278.08
432,156,48,3,230.43
433,156,27,3,331.72
434,157,17,5,418.12
435,157,19,4,450.0
436,157,8,4,466.22
437,158,41,5,109.04
438,159,40,1,206.01
439,159,31,2,23.94
440,159,33,1,195.67
441,159,44,4,260.15
442,159,34,3,26.97
443,160,4,2,271.13
444,160,9,2,62.14
445,160,22,4,488.22
446,160,37,4,335.11
447,161,21,2,487.05
448,161,50,1,446.87
449,162,22,2,488.22
450,162,21,1,487.05
451,162,1,4,200.91
452,162,18,2,217.74
453,163,37,2,335.11
454,163,32,1,365.63
455,164,40,4,206.01
456,164,41,4,109.04
457,165,28,4,432.85
458,165,25,1,430.0
459,165,3,5,312.47
460,165,13,3,415.53
461,166,21,5,487.05
462,167,2,1,464.86
463,167,41,2,109.04
464,168,45,3,410.12
465,168,20,2,342.62
466,169,25,5,430.0
467,170,20,2,342.62
