event_id,session_id,event_timestamp,event_type,page_url,product_id
1,1,2023-09-23T00:00:00,checkout,/page/12,9.0
2,1,2023-09-23T00:00:30,page_view,/page/11,27.0
3,1,2023-09-23T00:01:00,purchase,/page/4,33.0
4,1,2023-09-23T00:01:30,add_to_cart,/page/1,38.0
5,1,2023-09-23T00:02:00,checkout,/page/16,38.0
6,1,2023-09-23T00:02:30,page_view,/page/10,11.0
7,1,2023-09-23T00:03:00,add_to_cart,/page/15,6.0
8,2,2023-10-06T00:00:00,page_view,/page/8,14.0
9,2,2023-10-06T00:00:30,add_to_cart,/page/6,33.0
10,2,2023-10-06T00:01:00,purchase,/page/20,42.0
11,2,2023-10-06T00:01:30,purchase,/page/11,29.0
12,2,2023-10-06T00:02:00,add_to_cart,/page/11,19.0
13,2,2023-10-06T00:02:30,remove_from_cart,/page/20,28.0
14,2,2023-10-06T00:03:00,page_view,/page/13,16.0
15,2,2023-10-06T00:03:30,add_to_cart,/page/20,39.0
16,2,2023-10-06T00:04:00,page_view,/page/5,37.0
17,2,2023-10-06T00:04:30,checkout,/page/4,
18,2,2023-10-06T00:05:00,page_view,/page/5,50.0
19,2,2023-10-06T00:05:30,remove_from_cart,/page/18,
20,3,2024-10-08T00:00:00,page_view,/page/16,7.0
21,3,2024-10-08T00:00:30,checkout,/page/11,11.0
22,3,2024-10-08T00:01:00,remove_from_cart,/page/6,5.0
23,3,2024-10-08T00:01:30,remove_from_cart,/page/19,24.0
24,3,2024-10-08T00:02:00,remove_from_cart,/page/3,5.0
25,3,2024-10-08T00:02:30,add_to_cart,/page/15,17.0
26,3,2024-10-08T00:03:00,checkout,/page/9,49.0
27,3,2024-10-08T00:03:30,checkout,/page/5,8.0
28,3,2024-10-08T00:04:00,purchase,/page/16,3.0
29,3,2024-10-08T00:04:30,remove_from_cart,/page/10,26.0
30,3,2024-10-08T00:05:00,checkout,/page/20,44.0
31,3,2024-10-08T00:05:30,add_to_cart,/page/15,24.0
32,3,2024-10-08T00:06:00,purchase,/page/20,21.0
33,3,2024-10-08T00:06:30,remove_from_cart,/page/3,44.0
34,4,2023-06-03T00:00:00,purchase,/page/15,17.0
35,4,2023-06-03T00:00:30,page_view,/page/20,42.0
36,4,2023-06-03T00:01:00,page_view,/page/8,45.0
37,4,2023-06-03T00:01:30,purchase,/page/1,10.0
38,4,2023-06-03T00:02:00,page_view,/page/10,25.0
39,4,2023-06-03T00:02:30,add_to_cart,/page/19,26.0
40,4,2023-06-03T00:03:00,page_view,/page/8,25.0
41,4,2023-06-03T00:03:30,checkout,/page/3,23.0
42,5,2024-02-08T00:00:00,checkout,/page/18,30.0
43,5,2024-02-08T00:00:30,page_view,/page/3,12.0
44,5,2024-02-08T00:01:00,page_view,/page/13,50.0
45,5,2024-02-08T00:01:30,checkout,/page/7,26.0
46,5,2024-02-08T00:02:00,remove_from_cart,/page/3,21.0
47,5,2024-02-08T00:02:30,remove_from_cart,/page/20,32.0
48,5,2024-02-08T00:03:00,add_to_cart,/page/16,8.0
49,5,2024-02-08T00:03:30,remove_from_cart,/page/15,3.0
50,5,2024-02-08T00:04:00,purchase,/page/5,31.0
51,6,2024-08-25T00:00:00,add_to_cart,/page/11,37.0
52,6,2024-08-25T00:00:30,page_view,/page/20,50.0
53,6,2024-08-25T00:01:00,checkout,/page/2,
54,6,2024-08-25T00:01:30,remove_from_cart,/page/14,31.0
55,7,2023-05-18T00:00:00,page_view,/page/7,2.0
56,7,2023-05-18T00:00:30,checkout,/page/9,17.0
57,7,2023-05-18T00:01:00,add_to_cart,/page/3,10.0
58,7,2023-05-18T00:01:30,page_view,/page/9,26.0
59,7,2023-05-18T00:02:00,page_view,/page/10,46.0
60,8,2024-01-02T00:00:00,checkout,/page/17,14.0
61,8,2024-01-02T00:00:30,remove_from_cart,/page/6,4.0
62,8,2024-01-02T00:01:00,page_view,/page/14,22.0
63,8,2024-01-02T00:01:30,remove_from_cart,/page/6,13.0
64,8,2024-01-02T00:02:00,remove_from_cart,/page/14,31.0
65,8,2024-01-02T00:02:30,checkout,/page/18,45.0
66,8,2024-01-02T00:03:00,add_to_cart,/page/14,23.0
67,8,2024-01-02T00:03:30,purchase,/page/13,1.0
68,8,2024-01-02T00:04:00,purchase,/page/20,13.0
69,9,2023-09-21T00:00:00,purchase,/page/20,10.0
70,9,2023-09-21T00:00:30,remove_from_cart,/page/11,1.0
71,9,2023-09-21T00:01:00,add_to_cart,/page/15,10.0
72,10,2024-08-09T00:00:00,remove_from_cart,/page/4,
73,10,2024-08-09T00:00:30,checkout,/page/9,34.0
74,10,2024-08-09T00:01:00,page_view,/page/15,9.0
75,10,2024-08-09T00:01:30,checkout,/page/19,7.0
76,10,2024-08-09T00:02:00,page_view,/page/7,48.0
77,10,2024-08-09T00:02:30,add_to_cart,/page/14,45.0
78,10,2024-08-09T00:03:00,purchase,/page/6,39.0
79,10,2024-08-09T00:03:30,checkout,/page/7,23.0
80,10,2024-08-09T00:04:00,add_to_cart,/page/7,44.0
81,11,2023-03-20T00:00:00,page_view,/page/12,24.0
82,11,2023-03-20T00:00:30,page_view,/page/10,20.0
83,11,2023-03-20T00:01:00,purchase,/page/4,45.0
84,11,2023-03-20T00:01:30,checkout,/page/15,27.0
85,11,2023-03-20T00:02:00,checkout,/page/12,23.0
86,11,2023-03-20T00:02:30,purchase,/page/14,34.0
87,11,2023-03-20T00:03:00,remove_from_cart,/page/4,12.0
88,11,2023-03-20T00:03:30,checkout,/page/14,24.0
89,11,2023-03-20T00:04:00,add_to_cart,/page/18,39.0
90,11,2023-03-20T00:04:30,add_to_cart,/page/18,28.0
91,11,2023-03-20T00:05:00,checkout,/page/10,43.0
92,12,2024-10-11T00:00:00,checkout,/page/10,45.0
93,12,2024-10-11T00:00:30,purchase,/page/4,6.0
94,12,2024-10-11T00:01:00,page_view,/page/3,42.0
95,12,2024-10-11T00:01:30,page_view,/page/20,27.0
96,12,2024-10-11T00:02:00,page_view,/page/16,48.0
97,12,2024-10-11T00:02:30,purchase,/page/18,7.0
98,12,2024-10-11T00:03:00,checkout,/page/17,38.0
99,12,2024-10-11T00:03:30,page_view,/page/10,27.0
100,12,2024-10-11T00:04:00,add_to_cart,/page/8,50.0
101,12,2024-10-11T00:04:30,checkout,/page/18,25.0
102,12,2024-10-11T00:05:00,page_view,/page/7,31.0
103,12,2024-10-11T00:05:30,page_view,/page/12,
104,12,2024-10-11T00:06:00,checkout,/page/14,42.0
105,13,2024-12-13T00:00:00,checkout,/page/1,24.0
106,13,2024-12-13T00:00:30,add_to_cart,/page/17,19.0
107,13,2024-12-13T00:01:00,remove_from_cart,/page/9,20.0
108,13,2024-12-13T00:01:30,checkout,/page/8,1.0
109,13,2024-12-13T00:02:00,checkout,/page/2,1.0
110,13,2024-12-13T00:02:30,page_view,/page/5,
111,13,2024-12-13T00:03:00,remove_from_cart,/page/17,48.0
112,13,2024-12-13T00:03:30,purchase,/page/11,22.0
113,13,2024-12-13T00:04:00,add_to_cart,/page/19,28.0
114,13,2024-12-13T00:04:30,add_to_cart,/page/18,26.0
115,13,2024-12-13T00:05:00,add_to_cart,/page/20,42.0
116,13,2024-12-13T00:05:30,checkout,/page/2,
117,13,2024-12-13T00:06:00,purchase,/page/14,9.0
118,14,2024-12-01T00:00:00,checkout,/page/6,26.0
119,14,2024-12-01T00:00:30,remove_from_cart,/page/17,11.0
120,14,2024-12-01T00:01:00,checkout,/page/8,7.0
121,14,2024-12-01T00:01:30,add_to_cart,/page/17,8.0
122,14,2024-12-01T00:02:00,purchase,/page/13,49.0
123,14,2024-12-01T00:02:30,remove_from_cart,/page/18,11.0
124,14,2024-12-01T00:03:00,remove_from_cart,/page/7,6.0
125,14,2024-12-01T00:03:30,page_view,/page/1,28.0
126,14,2024-12-01T00:04:00,page_view,/page/19,10.0
127,14,2024-12-01T00:04:30,page_view,/page/20,46.0
128,14,2024-12-01T00:05:00,purchase,/page/3,37.0
129,14,2024-12-01T00:05:30,checkout,/page/1,48.0
130,15,2024-06-16T00:00:00,add_to_cart,/page/15,41.0
131,15,2024-06-16T00:00:30,remove_from_cart,/page/6,16.0
132,15,2024-06-16T00:01:00,add_to_cart,/page/10,13.0
133,15,2024-06-16T00:01:30,purchase,/page/8,47.0
134,15,2024-06-16T00:02:00,checkout,/page/9,43.0
135,15,2024-06-16T00:02:30,page_view,/page/9,6.0
136,15,2024-06-16T00:03:00,add_to_cart,/page/1,41.0
137,15,2024-06-16T00:03:30,purchase,/page/4,8.0
138,15,2024-06-16T00:04:00,checkout,/page/20,8.0
139,15,2024-06-16T00:04:30,page_view,/page/5,19.0
140,15,2024-06-16T00:05:00,remove_from_cart,/page/6,6.0
141,15,2024-06-16T00:05:30,page_view,/page/16,24.0
142,15,2024-06-16T00:06:00,add_to_cart,/page/13,7.0
143,16,2024-01-02T00:00:00,page_view,/page/14,5.0
144,16,2024-01-02T00:00:30,checkout,/page/3,14.0
145,16,2024-01-02T00:01:00,checkout,/page/13,21.0
146,16,2024-01-02T00:01:30,checkout,/page/6,12.0
147,16,2024-01-02T00:02:00,remove_from_cart,/page/1,12.0
148,16,2024-01-02T00:02:30,purchase,/page/20,3.0
149,16,2024-01-02T00:03:00,page_view,/page/11,23.0
150,16,2024-01-02T00:03:30,checkout,/page/20,39.0
151,16,2024-01-02T00:04:00,purchase,/page/1,11.0
152,17,2023-05-05T00:00:00,remove_from_cart,/page/4,13.0
153,17,2023-05-05T00:00:30,purchase,/page/1,35.0
154,17,2023-05-05T00:01:00,page_view,/page/17,33.0
155,17,2023-05-05T00:01:30,add_to_cart,/page/7,24.0
156,17,2023-05-05T00:02:00,page_view,/page/7,2.0
157,17,2023-05-05T00:02:30,remove_from_cart,/page/5,15.0
158,17,2023-05-05T00:03:00,page_view,/page/5,18.0
159,17,2023-05-05T00:03:30,remove_from_cart,/page/16,13.0
160,17,2023-05-05T00:04:00,page_view,/page/12,46.0
161,17,2023-05-05T00:04:30,purchase,/page/10,30.0
162,18,2023-12-19T00:00:00,checkout,/page/14,33.0
163,18,2023-12-19T00:00:30,checkout,/page/7,17.0
164,18,2023-12-19T00:01:00,add_to_cart,/page/7,44.0
165,18,2023-12-19T00:01:30,remove_from_cart,/page/13,7.0
166,18,2023-12-19T00:02:00,purchase,/page/19,20.0
167,18,2023-12-19T00:02:30,add_to_cart,/page/7,47.0
168,18,2023-12-19T00:03:00,checkout,/page/14,29.0
169,18,2023-12-19T00:03:30,checkout,/page/20,48.0
170,18,2023-12-19T00:04:00,remove_from_cart,/page/11,40.0
171,18,2023-12-19T00:04:30,page_view,/page/20,25.0
172,18,2023-12-19T00:05:00,checkout,/page/7,37.0
173,18,2023-12-19T00:05:30,remove_from_cart,/page/12,41.0
174,18,2023-12-19T00:06:00,page_view,/page/15,11.0
175,19,2024-11-05T00:00:00,purchase,/page/9,38.0
176,19,2024-11-05T00:00:30,checkout,/page/10,39.0
177,20,2023-08-01T00:00:00,purchase,/page/12,26.0
178,20,2023-08-01T00:00:30,page_view,/page/4,12.0
179,20,2023-08-01T00:01:00,remove_from_cart,/page/14,
180,20,2023-08-01T00:01:30,add_to_cart,/page/12,16.0
181,20,2023-08-01T00:02:00,page_view,/page/7,43.0
182,20,2023-08-01T00:02:30,remove_from_cart,/page/12,10.0
183,20,2023-08-01T00:03:00,remove_from_cart,/page/4,1.0
184,20,2023-08-01T00:03:30,remove_from_cart,/page/1,46.0
185,20,2023-08-01T00:04:00,remove_from_cart,/page/7,30.0
186,20,2023-08-01T00:04:30,purchase,/page/11,15.0
187,20,2023-08-01T00:05:00,purchase,/page/3,25.0
188,20,2023-08-01T00:05:30,remove_from_cart,/page/20,14.0
189,20,2023-08-01T00:06:00,purchase,/page/7,7.0
190,20,2023-08-01T00:06:30,purchase,/page/9,46.0
191,20,2023-08-01T00:07:00,purchase,/page/3,37.0
192,21,2024-01-12T00:00:00,checkout,/page/14,21.0
193,21,2024-01-12T00:00:30,remove_from_cart,/page/7,13.0
194,21,2024-01-12T00:01:00,page_view,/page/16,32.0
195,21,2024-01-12T00:01:30,page_view,/page/9,27.0
196,21,2024-01-12T00:02:00,page_view,/page/4,29.0
